Start	Type	Duration
2015-07-10T02:09:56.020	left-LM	42.858
2015-07-10T02:13:22.066	left-LM	2.67
2015-07-10T02:13:26.740	left-LM	9.188
2015-07-10T02:14:41.982	left-LM	4.09
2015-07-10T02:20:35.764	left-LM	15.126
2015-07-10T03:12:59.356	left-LM	16.226
2015-07-10T03:54:45.096	left-LM	6.402
2015-07-10T04:14:21.564	left-LM	14.992
2015-07-10T04:25:26.846	left-LM	13.196
2015-07-10T04:49:14.970	left-LM	22.568
2015-07-10T05:06:35.994	left-LM	14.43
2015-07-10T05:29:29.996	left-LM	14.268
2015-07-10T05:29:47.336	left-LM	1.33
2015-07-10T05:30:01.066	left-LM	4.07
2015-07-10T05:41:41.242	left-LM	7.218
2015-07-10T05:43:26.694	left-LM	18.206
2015-07-10T05:48:05.452	left-LM	13.342
